,freq,group,cell_ID
0,1.0289670456504452,control,C1_Cell1
0,0.28206526209564814,control,C1_Cell2
0,1.3424150925430471,control,C1_Cell3
0,0.7018255687415844,control,C1_Cell4
0,0.9760961367654417,control,C1_Cell5
0,1.677835602313713,control,C1_Cell6
0,0.35887221721738993,control,C2_Cell10
0,0.7051958975807373,control,C2_Cell11
0,0.5160181170593802,control,C2_Cell12
0,0.17755817593571505,control,C2_Cell7
0,0.2417861717104985,control,C2_Cell8
0,0.2741656817756375,control,C2_Cell9
0,0.23217262405246938,control,C3_Cell14
0,0.13301492899139064,control,C3_Cell15
0,0.08130090890968132,control,C4_Cell19
0,0.5841237175268265,control,C4_Cell20
0,0.39971742217029177,control,C4_Cell21
0,0.43437812072175225,control,C4_Cell22
0,0.21591690067071892,control,C4_Cell23
0,0.5910618488590668,control,C4_Cell24
0,0.19209863561879165,control,C5_Cell25
0,0.24207026082144018,control,C5_Cell26
0,0.6166091218586454,control,C5_Cell27
0,0.29967010712124154,control,C5_Cell28
0,0.4179995193771751,control,C5_Cell29
0,0.29716233821399174,control,C5_Cell30
0,0.10336665445934069,control,C6_Cell31
0,0.13637193805379294,control,C6_Cell32
0,0.18163544544267593,control,C6_Cell33
0,1.0898513797090414,control,C6_Cell34
0,0.2630585180672354,control,C6_Cell35
0,0.135582188272993,control,C6_Cell36
0,0.30130491284516014,control,C7_Cell37
0,0.19992661975239934,control,C7_Cell38
0,0.29318495926449256,control,C7_Cell39
0,0.21093076713334744,control,C7_Cell40
0,1.230899607565105,control,C7_Cell41
0,0.4108008728130819,control,C7_Cell42
0,2.1329312590077327,stimulated,C1_Cell1
0,1.69919819827817,stimulated,C1_Cell2
0,1.0823272890501472,stimulated,C1_Cell3
0,1.1693406067436127,stimulated,C1_Cell4
0,2.56940008746676,stimulated,C1_Cell5
0,1.454302749532781,stimulated,C1_Cell6
0,1.1010320277628292,stimulated,C2_Cell10
0,0.623784758704309,stimulated,C2_Cell11
0,4.1358458764584025,stimulated,C2_Cell12
0,0.18230347528619972,stimulated,C2_Cell7
0,0.227667955434944,stimulated,C2_Cell8
0,0.4902907872726946,stimulated,C2_Cell9
0,0.33007876175742207,stimulated,C3_Cell13
0,0.3842959154792111,stimulated,C3_Cell14
0,0.2443306596297049,stimulated,C3_Cell15
0,0.5593883910406702,stimulated,C3_Cell16
0,0.5380817523447061,stimulated,C3_Cell17
0,2.5285530714556845,stimulated,C3_Cell18
0,0.44634884776312206,stimulated,C4_Cell19
0,0.3379937306548522,stimulated,C4_Cell20
0,0.41518755741025615,stimulated,C4_Cell21
0,2.1662941497077233,stimulated,C4_Cell22
0,0.5845173817647643,stimulated,C4_Cell23
0,0.2787937847633888,stimulated,C4_Cell24
0,0.4332235511437243,stimulated,C5_Cell25
0,1.046158509212802,stimulated,C5_Cell26
0,0.34956306550620475,stimulated,C5_Cell27
0,0.8654757340426195,stimulated,C5_Cell28
0,0.9436909935620891,stimulated,C5_Cell29
0,0.20745961253399675,stimulated,C5_Cell30
0,0.49111288653976704,stimulated_24h,C1_Cell1
0,0.623954076205,stimulated_24h,C1_Cell2
0,0.41390308613283133,stimulated_24h,C1_Cell3
0,0.7731119671766936,stimulated_24h,C1_Cell4
0,0.6848492636661561,stimulated_24h,C1_Cell5
0,1.1419635455690649,stimulated_24h,C1_Cell6
0,0.5219478944210457,stimulated_24h,C2_Cell10
0,1.3376010390698352,stimulated_24h,C2_Cell11
0,0.4271809497927069,stimulated_24h,C2_Cell12
0,0.34834551106765427,stimulated_24h,C2_Cell7
0,1.4402133853770884,stimulated_24h,C2_Cell8
0,1.2204455485440358,stimulated_24h,C2_Cell9
0,0.7593334279545951,stimulated_24h,C3_Cell13
0,0.5875775651555251,stimulated_24h,C3_Cell14
0,1.2892757339590164,stimulated_24h,C3_Cell15
0,0.6857904830233319,stimulated_24h,C3_Cell16
0,0.5357760504732203,stimulated_24h,C3_Cell17
0,0.5567171459656289,stimulated_24h,C3_Cell18
0,0.5530348433064768,stimulated_24h,C4_Cell19
0,0.7130003141849394,stimulated_24h,C4_Cell20
0,0.5748291571175145,stimulated_24h,C4_Cell21
0,0.8373503369635198,stimulated_24h,C4_Cell22
0,1.188585539379708,stimulated_24h,C4_Cell23
0,1.325976392365698,stimulated_24h,C4_Cell24
0,0.43313674941498953,stimulated_24h,C5_Cell25
0,0.3892364304074434,stimulated_24h,C5_Cell26
0,0.4623991001613645,stimulated_24h,C5_Cell27
0,0.25980246774448407,stimulated_24h,C5_Cell28
0,0.6519936476775557,stimulated_24h,C5_Cell29
0,0.317875284976415,stimulated_24h,C5_Cell30
0,0.43524569211633635,stimulated_24h,C6_Cell31
0,0.5708518499713157,stimulated_24h,C6_Cell32
0,0.700470025502475,stimulated_24h,C6_Cell33
0,0.2603865579631862,stimulated_24h,C6_Cell34
0,0.7182183417510941,stimulated_24h,C6_Cell35
0,1.2004802335668179,stimulated_24h,C6_Cell36
