segment,length,ave_width,spine_count,spine_density,batch,time,group
W1C3_seg1,49.694,0.771,76,1.52936337,21042022,day0,rMS
W1C3_seg1,48.913,0.754,73,1.49245264,21042022,day1,rMS
W1C3_seg1,47.783,0.751,69,1.44403578,21042022,day2,rMS
W1C3_seg1,52.701,0.695,73,1.38516747,21042022,day3,rMS
W1C3_seg1,55.775,0.796,84,1.50605814,21042022,day4,rMS
W1C3_seg1,51.401,0.606,69,1.34238509,21042022,1h,rMS
W1C3_seg1,46.058,0.775,67,1.45468401,21042022,2h,rMS
W1C3_seg1,53.76,0.87,60,1.11607571,21042022,3h,rMS
W1C3_seg1,49.728,0.793,68,1.36743248,21042022,4h,rMS
W1C3_seg1,49.195,0.77,59,1.19931625,21042022,5h,rMS
W1C3_seg1,50.253,0.777,65,1.29344349,21042022,24h,rMS
W1C3_seg2,30.018,0.873,49,1.63232751,21042022,day0,rMS
W1C3_seg2,42.338,0.735,70,1.65335146,21042022,day1,rMS
W1C3_seg2,38.228,0.759,61,1.59569641,21042022,day2,rMS
W1C3_seg2,30.528,0.768,33,1.08099195,21042022,day3,rMS
W1C3_seg2,41.986,0.875,50,1.19087504,21042022,day4,rMS
W1C3_seg2,36.598,0.695,53,1.44817277,21042022,1h,rMS
W1C3_seg2,40.267,0.826,51,1.26654892,21042022,2h,rMS
W1C3_seg2,34.59,0.859,43,1.24313518,21042022,3h,rMS
W1C3_seg2,33.605,0.892,35,1.04151369,21042022,4h,rMS
W1C3_seg2,41.627,0.877,49,1.17713103,21042022,5h,rMS
W1C3_seg2,36.397,0.884,54,1.48362388,21042022,24h,rMS
W3C1_seg1,49.578,0.956,65,1.31106887,21042022,day0,sham
W3C1_seg1,40.788,0.935,48,1.17682902,21042022,day1,sham
W3C1_seg1,52.93,0.95,55,1.03911547,21042022,day2,sham
W3C1_seg1,46.098,1.147,42,0.91110473,21042022,day3,sham
W3C1_seg1,45.077,1.213,38,0.84299944,21042022,day4,sham
W3C1_seg1,47.046,0.991,41,0.87148989,21042022,1h,sham
W3C1_seg1,46.471,1.292,38,0.81771085,21042022,2h,sham
W3C1_seg1,48.881,0.968,46,0.94105991,21042022,3h,sham
W3C1_seg1,53.484,1.096,50,0.9348515,21042022,4h,sham
W3C1_seg1,48.088,0.82,51,1.06055715,21042022,5h,sham
W3C1_seg1,49.317,0.992,35,0.7096917,21042022,24h,sham
W3C1_seg2,52.346,0.92,62,1.18443151,21042022,day0,sham
W3C1_seg2,54.362,0.792,71,1.30607134,21042022,day1,sham
W3C1_seg2,53.47,0.862,51,0.95380565,21042022,day2,sham
W3C1_seg2,56.7,1.011,47,0.82892415,21042022,day3,sham
W3C1_seg2,57.903,1.139,60,1.0362214,21042022,day4,sham
W3C1_seg2,58.579,0.889,48,0.81939961,21042022,1h,sham
W3C1_seg2,55.743,1.274,45,0.80727391,21042022,2h,sham
W3C1_seg2,59.644,0.926,53,0.88860288,21042022,3h,sham
W3C1_seg2,54.524,1.059,46,0.84366856,21042022,4h,sham
W3C1_seg2,59.787,0.916,50,0.83630014,21042022,5h,sham
W3C1_seg2,56.109,0.923,45,0.80200767,21042022,24h,sham
W3C4_seg1,60.259,0.502,67,1.11187178,21042022,day0,sham
W3C4_seg1,55.286,0.906,65,1.17570557,21042022,day1,sham
W3C4_seg1,67.687,0.781,72,1.06371797,21042022,day2,sham
W3C4_seg1,70.692,0.977,83,1.17410781,21042022,day3,sham
W3C4_seg1,56.528,0.954,62,1.09679722,21042022,day4,sham
W3C4_seg1,59.474,1.071,52,0.87433135,21042022,1h,sham
W3C4_seg1,61.542,0.741,70,1.13744269,21042022,2h,sham
W3C4_seg1,60.284,0.732,71,1.1777626,21042022,3h,sham
W3C4_seg1,69.011,0.778,81,1.1737188,21042022,4h,sham
W3C4_seg1,61.676,0.855,65,1.05388665,21042022,5h,sham
W3C4_seg1,59.957,1.056,62,1.03406989,21042022,24h,sham
W3C4_seg2,51.071,0.421,65,1.27273349,21042022,day0,sham
W3C4_seg2,53.061,0.843,78,1.4700077,21042022,day1,sham
W3C4_seg2,50.415,0.664,61,1.20995198,21042022,day2,sham
W3C4_seg2,53.667,0.9,65,1.21118383,21042022,day3,sham
W3C4_seg2,53.809,0.856,65,1.20797687,21042022,day4,sham
W3C4_seg2,52.75,1.114,69,1.30804887,21042022,1h,sham
W3C4_seg2,52.989,0.581,74,1.39652562,21042022,2h,sham
W3C4_seg2,53.839,0.583,64,1.18872335,21042022,3h,sham
W3C4_seg2,50.855,0.664,67,1.31746777,21042022,4h,sham
W3C4_seg2,52.163,0.969,70,1.34195521,21042022,5h,sham
W3C4_seg2,50.197,0.928,68,1.35467364,21042022,24h,sham
W6C2_seg1,33.608,0.651,58,1.72577923,21042022,day0,rMS
W6C2_seg1,31.961,0.865,46,1.43926565,21042022,day1,rMS
W6C2_seg1,31.64,0.903,57,1.80152226,21042022,day2,rMS
W6C2_seg1,39.533,0.641,59,1.4924249,21042022,day3,rMS
W6C2_seg1,36.771,0.643,60,1.63171255,21042022,day4,rMS
W6C2_seg1,39.441,0.727,55,1.39448875,21042022,1h,rMS
W6C2_seg1,31.11,0.972,47,1.51077683,21042022,2h,rMS
W6C2_seg1,38.173,0.955,52,1.36221151,21042022,3h,rMS
W6C2_seg1,38.444,0.936,60,1.56071409,21042022,4h,rMS
W6C2_seg1,34.116,0.731,45,1.31902022,21042022,5h,rMS
W6C2_seg1,38.654,0.957,60,1.55223246,21042022,24h,rMS
W6C2_seg2,43.102,0.73,62,1.43843684,21042022,day0,rMS
W6C2_seg2,37.39,0.952,58,1.55122072,21042022,day1,rMS
W6C2_seg2,37.332,0.828,49,1.3125371,21042022,day2,rMS
W6C2_seg2,40.078,0.677,66,1.6467785,21042022,day3,rMS
W6C2_seg2,38.626,0.637,59,1.52745902,21042022,day4,rMS
W6C2_seg2,36.088,0.765,57,1.57947431,21042022,1h,rMS
W6C2_seg2,38.131,1,58,1.52108538,21042022,2h,rMS
W6C2_seg2,37.074,0.973,54,1.45653912,21042022,3h,rMS
W6C2_seg2,36.944,0.975,49,1.32632574,21042022,4h,rMS
W6C2_seg2,38.091,0.774,51,1.33888998,21042022,5h,rMS
W6C2_seg2,36.914,0.991,54,1.46284166,21042022,24h,rMS
W8C4_seg1,55.682,0.815,70,1.25714336,21042022,day0,sham
W8C4_seg1,57.503,0.759,71,1.23472299,21042022,day1,sham
W8C4_seg1,56.249,0.755,85,1.51113067,21042022,day2,sham
W8C4_seg1,54.718,0.863,85,1.55341652,21042022,day3,sham
W8C4_seg1,56.459,0.682,85,1.50552028,21042022,day4,sham
W8C4_seg1,60.056,0.638,103,1.71507492,21042022,1h,sham
W8C4_seg1,54.588,0.635,94,1.72197528,21042022,2h,sham
W8C4_seg1,56.847,0.735,86,1.51284145,21042022,3h,sham
W8C4_seg1,54.034,0.652,83,1.53608063,21042022,4h,sham
W8C4_seg1,53.354,0.567,87,1.6306029,21042022,5h,sham
W8C4_seg1,57.131,0.534,90,1.5753396,21042022,24h,sham
W4C1_seg1,40.876,0.627,61,1.49230897,07032022,day0,rMS
W4C1_seg1,36.738,0.906,64,1.74206984,07032022,day1,rMS
W4C1_seg1,42.643,1.003,48,1.12561303,07032022,day2,rMS
W4C1_seg1,40.53,0.444,62,1.52972244,07032022,day3,rMS
W4C1_seg1,35.596,0.564,58,1.62941933,07032022,day4,rMS
W4C1_seg1,35.004,1.075,60,1.71409414,07032022,1h,rMS
W4C1_seg1,37.935,0.545,65,1.71346981,07032022,2h,rMS
W4C1_seg1,37.759,0.689,56,1.48309306,07032022,3h,rMS
W4C1_seg1,38.373,0.548,62,1.61569968,07032022,4h,rMS
W4C1_seg1,39.114,0.667,61,1.55953108,07032022,5h,rMS
W4C1_seg1,32.866,0.685,41,1.24748264,07032022,24h,rMS
W4C1_seg2,53.108,0.639,88,1.65701559,07032022,day0,rMS
W4C1_seg2,51.244,0.808,82,1.60019588,07032022,day1,rMS
W4C1_seg2,52.266,1.003,82,1.56891048,07032022,day2,rMS
W4C1_seg2,50.496,0.319,76,1.50508257,07032022,day3,rMS
W4C1_seg2,53.956,0.555,80,1.48269503,07032022,day4,rMS
W4C1_seg2,53.237,0.899,79,1.48394084,07032022,1h,rMS
W4C1_seg2,57.453,0.501,95,1.65352398,07032022,2h,rMS
W4C1_seg2,52.702,0.665,88,1.66976621,07032022,3h,rMS
W4C1_seg2,53.386,0.587,79,1.47979677,07032022,4h,rMS
W4C1_seg2,55.546,0.632,83,1.4942665,07032022,5h,rMS
W4C1_seg2,49.541,0.632,76,1.5340889,07032022,24h,rMS
